drug_name,disease_name,protein_name
ephedrine,allergic rhinitis,solute carrier family 6 member 2
ephedrine,allergic rhinitis,adrenoceptor beta 2
hydroxyzine,allergic rhinitis,5-hydroxytryptamine receptor 2a
hydroxyzine,allergic rhinitis,dopamine receptor d2
fexofenadine,allergic rhinitis,potassium voltage-gated channel subfamily h member 2
dextromethorphan,allergic rhinitis,opioid receptor mu 1
dextromethorphan,allergic rhinitis,solute carrier family 6 member 2
beclometasone,allergic rhinitis,serpin family a member 6
beclometasone,allergic rhinitis,nuclear receptor subfamily 3 group c member 1
paracetamol,allergic rhinitis,transient receptor potential cation channel subfamily v member 1
paracetamol,allergic rhinitis,sulfotransferase family 1a member 1
paracetamol,allergic rhinitis,cannabinoid receptor 1
cyproheptadine,allergic rhinitis,cholinergic receptor muscarinic 3
cyproheptadine,allergic rhinitis,5-hydroxytryptamine receptor 2a
cyproheptadine,allergic rhinitis,cholinergic receptor muscarinic 2
cyproheptadine,allergic rhinitis,solute carrier family 6 member 2
cyproheptadine,allergic rhinitis,cholinergic receptor muscarinic 1
cyproheptadine,allergic rhinitis,dopamine receptor d2
cyproheptadine,allergic rhinitis,cholinergic receptor muscarinic 5
cyproheptadine,allergic rhinitis,cholinergic receptor muscarinic 4
n-methyl scopolamine,allergic rhinitis,cholinergic receptor muscarinic 1
n-methyl scopolamine,allergic rhinitis,cholinergic receptor muscarinic 5
n-methyl scopolamine,allergic rhinitis,cholinergic receptor muscarinic 2
n-methyl scopolamine,allergic rhinitis,cholinergic receptor muscarinic 3
n-methyl scopolamine,allergic rhinitis,cholinergic receptor muscarinic 4
dexbrompheniramine,allergic rhinitis,potassium voltage-gated channel subfamily h member 2
dexbrompheniramine,allergic rhinitis,histamine receptor h1
prednisolone,allergic rhinitis,serpin family a member 6
astemizole,allergic rhinitis,potassium voltage-gated channel subfamily h member 2
astemizole,allergic rhinitis,"major histocompatibility complex, class i, a"
astemizole,allergic rhinitis,transmembrane protein 97
codeine,allergic rhinitis,opioid receptor mu 1
betamethasone,allergic rhinitis,prostaglandin-endoperoxide synthase 2
betamethasone,allergic rhinitis,phospholipase a2 group ib
doxylamine,allergic rhinitis,cholinergic receptor muscarinic 1
loratadine,allergic rhinitis,potassium voltage-gated channel subfamily h member 2
triamcinolone,allergic rhinitis,prostaglandin-endoperoxide synthase 2
triamcinolone,allergic rhinitis,serpin family a member 6
ibuprofen,patent ductus arteriosus,c-x-c motif chemokine ligand 8
ibuprofen,patent ductus arteriosus,albumin
indomethacin,patent ductus arteriosus,c-x-c motif chemokine ligand 8
indomethacin,patent ductus arteriosus,albumin
indomethacin,patent ductus arteriosus,aldo-keto reductase family 1 member c3
sulfasalazine,psoriatic arthritis,solute carrier family 46 member 1
sulfasalazine,psoriatic arthritis,acetyl-coa acetyltransferase 1
cortisol,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
cortisol,psoriatic arthritis,sex hormone binding globulin
cortisol,psoriatic arthritis,serpin family a member 6
prednisolone,psoriatic arthritis,serpin family a member 6
betamethasone,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
triamcinolone,psoriatic arthritis,serpin family a member 6
tofacitinib,psoriatic arthritis,"fyn proto-oncogene, src family tyrosine kinase"
tofacitinib,psoriatic arthritis,janus kinase 3
tofacitinib,psoriatic arthritis,janus kinase 1
tofacitinib,psoriatic arthritis,janus kinase 2
leflunomide,psoriatic arthritis,dihydroorotate dehydrogenase (quinone)
prednisone,psoriatic arthritis,nuclear receptor subfamily 3 group c member 1
imatinib,idiopathic hypereosinophilic syndrome,platelet derived growth factor receptor alpha
acebutolol,anxiety,adrenoceptor beta 2
acebutolol,anxiety,adrenoceptor beta 1
alprazolam,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
alprazolam,anxiety,gamma-aminobutyric acid type a receptor subunit gamma2
alprazolam,anxiety,gamma-aminobutyric acid type a receptor subunit beta3
alprazolam,anxiety,bromodomain containing 4
chlordiazepoxide,anxiety,gamma-aminobutyric acid type a receptor subunit gamma2
chlordiazepoxide,anxiety,gamma-aminobutyric acid type a receptor subunit beta3
chlordiazepoxide,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
clorazepate,anxiety,gamma-aminobutyric acid type a receptor subunit gamma2
clorazepate,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
clorazepate,anxiety,gamma-aminobutyric acid type a receptor subunit beta3
midazolam,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
midazolam,anxiety,gamma-aminobutyric acid type a receptor subunit delta
midazolam,anxiety,gamma-aminobutyric acid type a receptor subunit beta3
midazolam,anxiety,gamma-aminobutyric acid type a receptor subunit gamma2
doxepin,anxiety,5-hydroxytryptamine receptor 2a
doxepin,anxiety,solute carrier family 6 member 2
doxepin,anxiety,histamine receptor h1
doxepin,anxiety,dopamine receptor d2
doxepin,anxiety,solute carrier family 6 member 4
doxepin,anxiety,5-hydroxytryptamine receptor 1a
trifluoperazine,anxiety,sigma non-opioid intracellular receptor 1
trifluoperazine,anxiety,histamine receptor h1
trifluoperazine,anxiety,5-hydroxytryptamine receptor 1a
trifluoperazine,anxiety,5-hydroxytryptamine receptor 2a
imipramine,anxiety,histamine receptor h1
imipramine,anxiety,dopamine receptor d2
imipramine,anxiety,5-hydroxytryptamine receptor 2a
imipramine,anxiety,solute carrier family 6 member 2
imipramine,anxiety,solute carrier family 6 member 4
imipramine,anxiety,5-hydroxytryptamine receptor 1a
adinazolam,anxiety,gamma-aminobutyric acid type a receptor subunit gamma2
adinazolam,anxiety,gamma-aminobutyric acid type a receptor subunit delta
adinazolam,anxiety,gamma-aminobutyric acid type a receptor subunit beta3
adinazolam,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
oxazepam,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
oxazepam,anxiety,gamma-aminobutyric acid type a receptor subunit gamma2
oxazepam,anxiety,gamma-aminobutyric acid type a receptor subunit beta3
oxazepam,anxiety,gamma-aminobutyric acid type a receptor subunit delta
methylphenobarbital,anxiety,glutamate ionotropic receptor kainate type subunit 2
methylphenobarbital,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
methylphenobarbital,anxiety,cholinergic receptor nicotinic alpha 4 subunit
clomipramine,anxiety,5-hydroxytryptamine receptor 2a
clomipramine,anxiety,solute carrier family 6 member 2
clomipramine,anxiety,solute carrier family 6 member 4
clomipramine,anxiety,dopamine receptor d2
clomipramine,anxiety,dopamine receptor d1
diazepam,anxiety,gamma-aminobutyric acid type a receptor subunit beta3
diazepam,anxiety,gamma-aminobutyric acid type a receptor subunit gamma2
diazepam,anxiety,gamma-aminobutyric acid type a receptor subunit alpha1
diazepam,anxiety,gamma-aminobutyric acid type a receptor subunit delta
desipramine,anxiety,adrenoceptor beta 2
desipramine,anxiety,5-hydroxytryptamine receptor 1a
desipramine,anxiety,adrenoceptor beta 1
desipramine,anxiety,5-hydroxytryptamine receptor 2a
desipramine,anxiety,dopamine receptor d2
desipramine,anxiety,solute carrier family 6 member 4
desipramine,anxiety,histamine receptor h1
desipramine,anxiety,solute carrier family 6 member 2
desipramine,anxiety,dopamine receptor d1
imatinib,dermatofibrosarcoma protuberans,"kit proto-oncogene, receptor tyrosine kinase"
imatinib,dermatofibrosarcoma protuberans,"abl proto-oncogene 1, non-receptor tyrosine kinase"
imatinib,dermatofibrosarcoma protuberans,discoidin domain receptor tyrosine kinase 1
imatinib,dermatofibrosarcoma protuberans,n-ribosyldihydronicotinamide:quinone dehydrogenase 2
imatinib,dermatofibrosarcoma protuberans,solute carrier family 47 member 1
imatinib,dermatofibrosarcoma protuberans,"abl proto-oncogene 2, non-receptor tyrosine kinase"
imatinib,dermatofibrosarcoma protuberans,platelet derived growth factor receptor beta
imatinib,dermatofibrosarcoma protuberans,discoidin domain receptor tyrosine kinase 2
imatinib,dermatofibrosarcoma protuberans,dead-box helicase 3 x-linked
cephalotaxine,"chronic myelogenous leukemia, bcr-abl1 positive",ribosomal protein l3
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive",discoidin domain receptor tyrosine kinase 1
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive",platelet derived growth factor receptor alpha
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 2, non-receptor tyrosine kinase"
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive",carbonic anhydrase 9
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive",cyclin dependent kinase 19
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive","b-raf proto-oncogene, serine/threonine kinase"
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive",mitogen-activated protein kinase 14
imatinib,"chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",bcr activator of rhogef and gtpase
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",platelet derived growth factor receptor alpha
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive","abl proto-oncogene 2, non-receptor tyrosine kinase"
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",eph receptor a5
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",dead-box helicase 1
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",cyclin dependent kinase 19
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",mitogen-activated protein kinase 14
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",cyclin dependent kinase 8
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive","b-raf proto-oncogene, serine/threonine kinase"
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",receptor interacting serine/threonine kinase 3
ponatinib,"chronic myelogenous leukemia, bcr-abl1 positive",discoidin domain receptor tyrosine kinase 1
hydroxyurea,"chronic myelogenous leukemia, bcr-abl1 positive",ribonucleotide reductase regulatory subunit m2
hydroxyurea,"chronic myelogenous leukemia, bcr-abl1 positive",carbonic anhydrase 9
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit gamma2
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit alpha3
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit alpha5
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit alpha6
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit alpha1
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit alpha2
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit beta2
pentobarbitone,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit alpha4
thiopental,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit gamma2
thiopental,pseudotumor cerebri,gamma-aminobutyric acid type a receptor subunit beta2
biotin,biotinidase deficiency,holocarboxylase synthetase
biotin,holocarboxylase synthetase deficiency,holocarboxylase synthetase
methylprednisolone,mycosis fungoides,atp binding cassette subfamily b member 1
triamcinolone,mycosis fungoides,serpin family a member 6
prednisolone,mycosis fungoides,atp binding cassette subfamily b member 1
prednisolone,mycosis fungoides,serpin family a member 6
vincristine,mycosis fungoides,atp binding cassette subfamily b member 1
vincristine,mycosis fungoides,tubulin beta 8 class viii
vincristine,mycosis fungoides,tubulin beta 3 class iii
vincristine,mycosis fungoides,tubulin beta class i
vincristine,mycosis fungoides,tubulin beta 1 class vi
vincristine,mycosis fungoides,tubulin beta 4a class iva
vincristine,mycosis fungoides,tubulin beta 2a class iia
vincristine,mycosis fungoides,tubulin beta 2b class iib
vincristine,mycosis fungoides,tubulin beta 4b class ivb
vincristine,mycosis fungoides,tubulin beta 6 class v
cyclophosphamide,mycosis fungoides,atp binding cassette subfamily b member 1
prednisone,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
prednisone,mycosis fungoides,atp binding cassette subfamily b member 1
betamethasone,mycosis fungoides,atp binding cassette subfamily b member 1
vinblastine,mycosis fungoides,tubulin beta 4a class iva
vinblastine,mycosis fungoides,tubulin beta 1 class vi
vinblastine,mycosis fungoides,tubulin beta 8 class viii
vinblastine,mycosis fungoides,atp binding cassette subfamily b member 1
vinblastine,mycosis fungoides,tubulin beta 2b class iib
vinblastine,mycosis fungoides,tubulin beta 4b class ivb
vinblastine,mycosis fungoides,tubulin beta 2a class iia
vinblastine,mycosis fungoides,tubulin beta 3 class iii
vinblastine,mycosis fungoides,tubulin beta 6 class v
cortisol,mycosis fungoides,nuclear receptor subfamily 3 group c member 1
cortisol,mycosis fungoides,atp binding cassette subfamily b member 1
cortisol,mycosis fungoides,sex hormone binding globulin
cortisol,mycosis fungoides,serpin family a member 6
ruxolitinib,primary myelofibrosis,mitogen-activated protein kinase kinase kinase 19
ruxolitinib,primary myelofibrosis,death associated protein kinase 2
ruxolitinib,primary myelofibrosis,janus kinase 1
ruxolitinib,primary myelofibrosis,death associated protein kinase 3
ruxolitinib,primary myelofibrosis,bmp2 inducible kinase
ruxolitinib,primary myelofibrosis,doublecortin like kinase 3
ruxolitinib,primary myelofibrosis,janus kinase 2
ruxolitinib,primary myelofibrosis,serine/threonine kinase 16
ruxolitinib,primary myelofibrosis,cyclin g associated kinase
ruxolitinib,primary myelofibrosis,death associated protein kinase 1
betamethasone,plasma cell myeloma,prostaglandin-endoperoxide synthase 2
betamethasone,plasma cell myeloma,nuclear receptor subfamily 3 group c member 1
panobinostat,plasma cell myeloma,histone deacetylase 6
panobinostat,plasma cell myeloma,histone deacetylase 10
panobinostat,plasma cell myeloma,histone deacetylase 11
panobinostat,plasma cell myeloma,histone deacetylase 9
panobinostat,plasma cell myeloma,histone deacetylase 7
panobinostat,plasma cell myeloma,histone deacetylase 1
panobinostat,plasma cell myeloma,histone deacetylase 2
panobinostat,plasma cell myeloma,histone deacetylase 3
panobinostat,plasma cell myeloma,histone deacetylase 4
panobinostat,plasma cell myeloma,histone deacetylase 8
panobinostat,plasma cell myeloma,histone deacetylase 5
methylprednisolone,plasma cell myeloma,nuclear receptor subfamily 3 group c member 1
lenalidomide,plasma cell myeloma,prostaglandin-endoperoxide synthase 2
lenalidomide,plasma cell myeloma,cereblon
triamcinolone,plasma cell myeloma,nuclear receptor subfamily 3 group c member 1
triamcinolone,plasma cell myeloma,prostaglandin-endoperoxide synthase 2
etoposide,plasma cell myeloma,prostaglandin-endoperoxide synthase 2
etoposide,plasma cell myeloma,dna topoisomerase ii alpha
etoposide,plasma cell myeloma,atp binding cassette subfamily c member 1 (abcc1 blood group)
etoposide,plasma cell myeloma,glutathione s-transferase theta 1
vincristine,plasma cell myeloma,atp binding cassette subfamily c member 1 (abcc1 blood group)
prednisone,plasma cell myeloma,nuclear receptor subfamily 3 group c member 1
pomalidomide,plasma cell myeloma,cereblon
prednisolone,plasma cell myeloma,nuclear receptor subfamily 3 group c member 1
bortezomib,plasma cell myeloma,proteasome 20s subunit alpha 1
bortezomib,plasma cell myeloma,cathepsin g
bortezomib,plasma cell myeloma,proteasome 20s subunit beta 2
bortezomib,plasma cell myeloma,proteasome 20s subunit beta 8
bortezomib,plasma cell myeloma,chymotrypsinogen b1
thalidomide,plasma cell myeloma,tumor necrosis factor
thalidomide,plasma cell myeloma,cereblon
thalidomide,plasma cell myeloma,prostaglandin-endoperoxide synthase 2
prednisolone,sjogren syndrome,serpin family a member 6
cortisol,angioedema,sex hormone binding globulin
cortisol,angioedema,serpin family a member 6
prednisone,angioedema,nuclear receptor subfamily 3 group c member 1
prednisone,angioedema,albumin
prednisolone,angioedema,serpin family a member 6
betamethasone,angioedema,nuclear receptor subfamily 3 group c member 1
triamcinolone,angioedema,serpin family a member 6
promazine,angioedema,5-hydroxytryptamine receptor 2a
promazine,angioedema,dopamine receptor d2
promazine,angioedema,histamine receptor h1
vasopressin,hemophilia a,arginine vasopressin receptor 1b
vasopressin,hemophilia a,arginine vasopressin receptor 1a
vasopressin,hemophilia a,arginine vasopressin receptor 2
desmopressin,hemophilia a,arginine vasopressin receptor 1a
desmopressin,hemophilia a,arginine vasopressin receptor 1b
ergocalciferol,x-linked dominant hypophosphatemic rickets,cytochrome p450 family 2 subfamily r member 1
ergocalciferol,x-linked dominant hypophosphatemic rickets,vitamin d receptor
ergocalciferol,x-linked dominant hypophosphatemic rickets,cytochrome p450 family 27 subfamily b member 1
"1,25-dihydroxyvitamin d3",x-linked dominant hypophosphatemic rickets,vitamin d receptor
l-citrulline,ornithine carbamoyltransferase deficiency,ornithine transcarbamylase
finasteride,benign prostatic hyperplasia,steroid 5 alpha-reductase 2
finasteride,benign prostatic hyperplasia,steroid 5 alpha-reductase 1
tadalafil,benign prostatic hyperplasia,phosphodiesterase 5a
tamsulosin,benign prostatic hyperplasia,adrenoceptor alpha 1b
prazosin,benign prostatic hyperplasia,adrenoceptor alpha 1b
prazosin,benign prostatic hyperplasia,adrenoceptor alpha 1a
prazosin,benign prostatic hyperplasia,adrenoceptor alpha 1d
doxazosin,benign prostatic hyperplasia,adrenoceptor alpha 1b
prasugrel,cerebrovascular disorder,purinergic receptor p2y12
prasugrel,cerebrovascular disorder,albumin
caffeine,obesity disorder,cytochrome p450 family 1 subfamily b member 1
caffeine,obesity disorder,cytochrome p450 family 2 subfamily e member 1
caffeine,obesity disorder,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
caffeine,obesity disorder,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
caffeine,obesity disorder,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
lorcaserin,obesity disorder,5-hydroxytryptamine receptor 2a
lorcaserin,obesity disorder,solute carrier family 6 member 4
sibutramine,obesity disorder,solute carrier family 6 member 3
sibutramine,obesity disorder,solute carrier family 6 member 4
sibutramine,obesity disorder,solute carrier family 6 member 2
fenfluramine,obesity disorder,5-hydroxytryptamine receptor 2c
fenfluramine,obesity disorder,5-hydroxytryptamine receptor 2a
methamphetamine,obesity disorder,solute carrier family 6 member 2
methamphetamine,obesity disorder,trace amine associated receptor 1
methamphetamine,obesity disorder,solute carrier family 22 member 3
methamphetamine,obesity disorder,solute carrier family 18 member a2
methamphetamine,obesity disorder,solute carrier family 6 member 3
methamphetamine,obesity disorder,solute carrier family 6 member 4
bupropion,obesity disorder,solute carrier family 6 member 2
bupropion,obesity disorder,solute carrier family 6 member 3
bupropion,obesity disorder,cytochrome p450 family 2 subfamily e member 1
bupropion,obesity disorder,adrenoceptor alpha 1a
bupropion,obesity disorder,solute carrier family 6 member 4
benzphetamine,obesity disorder,solute carrier family 18 member a2
benzphetamine,obesity disorder,solute carrier family 6 member 3
benzphetamine,obesity disorder,solute carrier family 6 member 2
phentermine,obesity disorder,solute carrier family 6 member 4
phentermine,obesity disorder,solute carrier family 6 member 3
rimonabant,obesity disorder,cannabinoid receptor 2
rimonabant,obesity disorder,cannabinoid receptor 1
naltrexone,obesity disorder,opioid receptor mu 1
naltrexone,obesity disorder,opioid receptor kappa 1
naltrexone,obesity disorder,opioid receptor delta 1
dexfenfluramine,obesity disorder,solute carrier family 6 member 4
dexfenfluramine,obesity disorder,5-hydroxytryptamine receptor 2c
dexfenfluramine,obesity disorder,cytochrome p450 family 2 subfamily e member 1
phenmetrazine,obesity disorder,solute carrier family 6 member 3
phenmetrazine,obesity disorder,solute carrier family 6 member 2
amphetamine,obesity disorder,solute carrier family 22 member 3
amphetamine,obesity disorder,solute carrier family 6 member 4
amphetamine,obesity disorder,solute carrier family 6 member 2
amphetamine,obesity disorder,dopamine receptor d2
amphetamine,obesity disorder,solute carrier family 6 member 3
secobarbital,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
zolpidem,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
zolpidem,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
choline,insomnia,adenosine a2a receptor
eszopiclone,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
zaleplon,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
triazolam,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
triazolam,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
melatonin,insomnia,calreticulin
nitrazepam,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
nitrazepam,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
midazolam,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
midazolam,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
pentobarbitone,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
pentobarbitone,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
flurazepam,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
flurazepam,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
zopiclone,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
zopiclone,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
alprazolam,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
alprazolam,insomnia,gamma-aminobutyric acid type a receptor subunit beta3
betamethasone,"dermatitis, atopic",prostaglandin-endoperoxide synthase 2
betamethasone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
cetirizine,"dermatitis, atopic",histamine receptor h1
mometasone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
doxepin,"dermatitis, atopic",histamine receptor h1
doxepin,"dermatitis, atopic",histamine receptor h2
clobetasol propionate,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
triamcinolone,"dermatitis, atopic",prostaglandin-endoperoxide synthase 2
prednisone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
cortisol,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
l-glutamine,sickle cell anemia,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
hydroxyurea,sickle cell anemia,ribonucleotide reductase regulatory subunit m2
prednisolone,juvenile idiopathic arthritis,atp binding cassette subfamily b member 1
prednisolone,juvenile idiopathic arthritis,serpin family a member 6
etodolac,juvenile idiopathic arthritis,dihydrofolate reductase
methylprednisolone,juvenile idiopathic arthritis,atp binding cassette subfamily b member 1
meloxicam,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
salicylic acid,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
salicylic acid,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
salicylic acid,juvenile idiopathic arthritis,atp binding cassette subfamily b member 1
salicylic acid,juvenile idiopathic arthritis,high mobility group box 1
naproxen,juvenile idiopathic arthritis,aldo-keto reductase family 1 member c3
naproxen,juvenile idiopathic arthritis,dihydrofolate reductase
celecoxib,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
chloroquine,juvenile idiopathic arthritis,tumor necrosis factor
chloroquine,juvenile idiopathic arthritis,atp binding cassette subfamily b member 1
prednisone,juvenile idiopathic arthritis,nuclear receptor subfamily 3 group c member 1
prednisone,juvenile idiopathic arthritis,atp binding cassette subfamily b member 1
betamethasone,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
betamethasone,juvenile idiopathic arthritis,atp binding cassette subfamily b member 1
tolmetin,juvenile idiopathic arthritis,c-x-c motif chemokine ligand 8
triamcinolone,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
triamcinolone,juvenile idiopathic arthritis,serpin family a member 6
nabumetone,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
nabumetone,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
sulfasalazine,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
sulfasalazine,juvenile idiopathic arthritis,arachidonate 5-lipoxygenase
sulfasalazine,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
sulfasalazine,juvenile idiopathic arthritis,solute carrier family 46 member 1
rofecoxib,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
ibuprofen,juvenile idiopathic arthritis,c-x-c motif chemokine ligand 8
ibuprofen,juvenile idiopathic arthritis,atp binding cassette subfamily b member 1
ibuprofen,juvenile idiopathic arthritis,dihydrofolate reductase
piroxicam,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
piroxicam,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
spironolactone,acne,progesterone receptor
spironolactone,acne,nuclear receptor subfamily 3 group c member 1
spironolactone,acne,sex hormone binding globulin
spironolactone,acne,androgen receptor
spironolactone,acne,cytochrome p450 family 11 subfamily b member 1
dapsone,acne,prostaglandin-endoperoxide synthase 2
dapsone,acne,prostaglandin-endoperoxide synthase 1
ethinylestradiol,acne,estrogen receptor 2
ethinylestradiol,acne,sex hormone binding globulin
estradiol valerate,acne,sex hormone binding globulin
estradiol valerate,acne,androgen receptor
azelaic acid,acne,tyrosinase
drospirenone,acne,progesterone receptor
drospirenone,acne,prostaglandin-endoperoxide synthase 2
drospirenone,acne,androgen receptor
tretinoin,acne,retinoid x receptor beta
cortisol,acne,cytochrome p450 family 11 subfamily b member 1
cortisol,acne,sex hormone binding globulin
norethisterone,acne,sex hormone binding globulin
norethisterone,acne,progesterone receptor
minocycline,acne,interleukin 1 beta
adapalene,acne,retinoid x receptor beta
adapalene,acne,retinoic acid receptor beta
adapalene,acne,retinoic acid receptor alpha
adapalene,acne,retinoic acid receptor gamma
levonorgestrel,acne,androgen receptor
levonorgestrel,acne,progesterone receptor
levonorgestrel,acne,sex hormone binding globulin
levonorgestrel,acne,estrogen receptor 1
norgestimate,acne,estrogen receptor 1
norgestimate,acne,progesterone receptor
estrone,acne,estrogen receptor 1
estrone,acne,estrogen receptor 2
estrone,acne,sex hormone binding globulin
tretinoin,acute promyelocytic leukemia,"peptidylprolyl cis/trans isomerase, nima-interacting 1"
cytarabine,acute promyelocytic leukemia,"dna polymerase alpha 1, catalytic subunit"
cytarabine,acute promyelocytic leukemia,"dna polymerase delta 1, catalytic subunit"
cytarabine,acute promyelocytic leukemia,dna polymerase beta
cytarabine,acute promyelocytic leukemia,"dna polymerase epsilon, catalytic subunit"
tamibarotene,acute promyelocytic leukemia,retinoic acid receptor alpha
tamibarotene,acute promyelocytic leukemia,retinoic acid receptor beta
daunorubicin,acute promyelocytic leukemia,dna topoisomerase ii alpha
lovastatin,hypoalphalipoproteinemia,3-hydroxy-3-methylglutaryl-coa reductase
fenofibrate,hypoalphalipoproteinemia,peroxisome proliferator activated receptor alpha
simvastatin,hypoalphalipoproteinemia,3-hydroxy-3-methylglutaryl-coa reductase
gemfibrozil,hypoalphalipoproteinemia,peroxisome proliferator activated receptor alpha
prednisolone,hypersensitivity pneumonitis,serpin family a member 6
ceftriaxone,meningococcal meningitis,synuclein alpha
acth,west syndrome,melanocortin 3 receptor
vemurafenib,erdheim-chester disease,"b-raf proto-oncogene, serine/threonine kinase"
vandetanib,thyroid gland carcinoma,ret proto-oncogene
vandetanib,thyroid gland carcinoma,ste20 like kinase
sorafenib,thyroid gland carcinoma,"b-raf proto-oncogene, serine/threonine kinase"
sorafenib,thyroid gland carcinoma,ret proto-oncogene
sorafenib,thyroid gland carcinoma,ste20 like kinase
triamcinolone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
triamcinolone,chronic primary adrenal insufficiency,serpin family a member 6
prednisolone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
prednisolone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 2
prednisolone,chronic primary adrenal insufficiency,serpin family a member 6
prednisone,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
cortisol,chronic primary adrenal insufficiency,nuclear receptor subfamily 3 group c member 1
cortisol,chronic primary adrenal insufficiency,sex hormone binding globulin
cortisol,chronic primary adrenal insufficiency,serpin family a member 6
